hs_contact_id,email,account_name_freetext,lifecycle_stage_hs,hs_lead_score,lead_source_hs,segment_raw_hs,country,created_at,is_internal,_synced_at
HS-001661,webbalexandra1661@example.com,Conner-Yu,lead,19,Cold Outreach,Small Business,United Kingdom,2025-10-19 12:52:10,false,2026-04-01 06:30:00
HS-001662,jacksonjoshua1662@example.com,Finley Inc,lead,34,Event,MM,Australia,2025-10-09 00:13:28,false,2026-04-01 06:30:00
HS-001663,keithsosa1663@example.com,Cook-Hines,lead,19,Partner,Mid-Market,United States,2025-11-02 10:17:46,false,2026-04-01 06:30:00
HS-001664,bauerheather1664@example.com,"Davis, George and Nguyen",marketingqualifiedlead,65,Inbound,SMB,Germany,2026-03-12 21:03:33,false,2026-04-01 06:30:00
HS-001665,isimpson1665@example.com,"Alvarado, Miller and Patterson",marketingqualifiedlead,70,Outbound,SMB,United Kingdom,2025-11-23 17:56:23,false,2026-04-01 06:30:00
HS-001666,martinkaren1666@example.com,"Stewart, Mann and Hoffman",marketingqualifiedlead,90,Content Download,smb,Germany,2025-08-26 11:05:18,false,2026-04-01 06:30:00
HS-001667,yhart1667@example.com,Abbott Ltd,marketingqualifiedlead,73,Event,Strategic,Canada,2025-12-24 16:25:51,false,2026-04-01 06:30:00
HS-001668,nlawson1668@example.com,Wheeler Group,marketingqualifiedlead,80,Partner,SMB,Germany,2026-01-31 16:54:53,false,2026-04-01 06:30:00
HS-001669,adamarmstrong1669@example.com,Abbott Ltd,lead,28,Outbound,ENT,Canada,2026-02-28 18:23:26,false,2026-04-01 06:30:00
HS-001670,suarezkrystal1670@example.com,Mendez-Mayer,lead,21,Channel,Mid Market,United Kingdom,2026-03-04 21:46:56,false,2026-04-01 06:30:00
HS-001671,ugordon1671@example.com,Ellis-Lawrence,lead,21,outbound,smb,United States,2026-01-14 14:50:28,false,2026-04-01 06:30:00
HS-001672,kevin341672@example.com,Welch-Hogan,marketingqualifiedlead,68,outbound,SMB,Australia,2025-11-18 19:15:28,false,2026-04-01 06:30:00
HS-001673,andrea231673@example.com,"Kim, Gonzales and Mills",marketingqualifiedlead,81,PPC,Small Business,Canada,2025-09-30 16:22:50,false,2026-04-01 06:30:00
HS-001674,fergusonkelly1674@example.com,Graham Group,marketingqualifiedlead,60,Inbound,SmallBiz,Germany,2025-09-10 12:01:13,false,2026-04-01 06:30:00
HS-001675,sheriramirez1675@example.com,Salas-Fitzgerald,lead,19,inbound,smb,Germany,2026-02-15 05:21:08,false,2026-04-01 06:30:00
HS-001676,josephgibbs1676@example.com,"Herrera, Jensen and Ramirez",lead,9,Event,enterprise,Canada,2025-12-14 09:55:54,false,2026-04-01 06:30:00
HS-001677,veronicaclark1677@example.com,Ballard Ltd,marketingqualifiedlead,52,outbound,Mid-Market,United States,2025-10-05 01:58:44,false,2026-04-01 06:30:00
HS-001678,smithmichael1678@example.com,"Newton, Moore and Perry",lead,9,PPC,smb,Australia,2025-12-31 17:53:47,false,2026-04-01 06:30:00
HS-001679,mark841679@example.com,Mccann-Ramos,lead,35,Content,enterprise,United States,2025-12-27 11:45:09,false,2026-04-01 06:30:00
HS-001680,rickycarr1680@example.com,"Rios, Walker and Wright",lead,30,Cold Outreach,MM,Australia,2025-09-07 20:06:25,false,2026-04-01 06:30:00
HS-001681,tracie051681@example.com,Phillips LLC,lead,18,outbound,smb,Australia,2025-10-06 06:47:20,false,2026-04-01 06:30:00
HS-001682,jessicaramirez1682@example.com,Lee-Wright,marketingqualifiedlead,49,inbound,SmallBiz,Canada,2026-02-18 07:30:23,false,2026-04-01 06:30:00
HS-001683,teresa891683@example.com,"Alvarez, Joseph and West",lead,36,Cold Outreach,Strategic,United Kingdom,2026-03-03 07:09:21,false,2026-04-01 06:30:00
HS-001684,sharphailey1684@example.com,May-Turner,marketingqualifiedlead,75,Inbound,SMB,Germany,2025-11-13 07:26:25,false,2026-04-01 06:30:00
HS-001685,molly981685@example.com,Williams Group,marketingqualifiedlead,77,inbound,MM,United Kingdom,2025-09-25 11:35:38,false,2026-04-01 06:30:00
HS-001686,lisawalker1686@example.com,Henderson Ltd,marketingqualifiedlead,86,Cold Outreach,Small Business,Germany,2025-12-30 14:19:06,false,2026-04-01 06:30:00
HS-001687,james621687@example.com,"Howard, Silva and Hall",lead,22,inbound,smb,United Kingdom,2025-10-27 00:01:23,false,2026-04-01 06:30:00
HS-001688,uhall1688@example.com,Jones-Young,lead,34,outbound,smb,Canada,2025-10-15 23:42:17,false,2026-04-01 06:30:00
HS-001689,erichardson1689@example.com,Smith-Bell,marketingqualifiedlead,74,Event,SMB,Australia,2025-08-27 20:18:03,false,2026-04-01 06:30:00
HS-001690,crawfordstephen1690@example.com,Williams Inc,marketingqualifiedlead,77,Content Download,Small Business,United Kingdom,2026-01-28 00:51:54,false,2026-04-01 06:30:00
HS-001691,jacobhenry1691@example.com,Vargas PLC,marketingqualifiedlead,50,Referral,Mid Market,United States,2026-02-17 07:09:34,false,2026-04-01 06:30:00
HS-001692,deborahsmith1692@example.com,Stewart Ltd,marketingqualifiedlead,49,Content Download,SMB,Germany,2025-09-10 05:10:32,false,2026-04-01 06:30:00
HS-001693,nicoleroth1693@example.com,"Li, Craig and Drake",marketingqualifiedlead,62,Cold Outreach,MM,United States,2025-11-12 19:57:32,false,2026-04-01 06:30:00
HS-001694,chadjones1694@example.com,Robertson-Ramirez,marketingqualifiedlead,41,IB,smb,Canada,2026-02-26 01:57:17,false,2026-04-01 06:30:00
HS-001695,spencerbrewer1695@example.com,"Davis, Stanley and Wright",marketingqualifiedlead,45,Content,MM,Canada,2025-11-14 16:11:48,false,2026-04-01 06:30:00
HS-001696,hgarcia1696@example.com,Hernandez Group,marketingqualifiedlead,84,PPC,SMB,Australia,2025-12-28 19:47:03,false,2026-04-01 06:30:00
HS-001697,jessicamorton1697@example.com,Marshall-Elliott,marketingqualifiedlead,77,Partner,MidMarket,Australia,2026-01-24 08:19:32,false,2026-04-01 06:30:00
HS-001698,grayandrew1698@example.com,"Rodriguez, Prince and Vasquez",lead,15,Trade Show,Mid-Market,United Kingdom,2025-10-30 21:04:44,false,2026-04-01 06:30:00
HS-001699,hinesdeanna1699@example.com,"Mueller, Stevenson and Sanchez",lead,7,inbound,SmallBiz,Germany,2025-09-26 20:05:01,false,2026-04-01 06:30:00
HS-001700,andersonkayla1700@example.com,"Foster, Garcia and Turner",lead,15,Inbound,Small Business,Germany,2025-09-01 05:10:23,false,2026-04-01 06:30:00
HS-001701,douglas901701@example.com,Carter LLC,marketingqualifiedlead,74,IB,SMB,United States,2025-09-09 18:24:13,false,2026-04-01 06:30:00
HS-001702,rosariodaniel1702@example.com,Ramirez-Stephenson,lead,34,IB,Small Business,Australia,2025-10-29 03:26:18,false,2026-04-01 06:30:00
HS-001703,melissa131703@example.com,Harvey-Allen,lead,20,Outbound,MM,Canada,2025-11-28 20:26:51,false,2026-04-01 06:30:00
HS-001704,timothyhart1704@example.com,"Morrison, Russo and Lopez",lead,6,outbound,MM,Canada,2025-11-04 00:41:30,false,2026-04-01 06:30:00
HS-001705,tochoa1705@example.com,Lewis Inc,lead,27,Paid,MM,United Kingdom,2026-02-25 03:22:46,false,2026-04-01 06:30:00
HS-001706,timothy301706@example.com,Bailey-Cook,marketingqualifiedlead,78,IB,Mid-Market,United States,2025-09-23 00:40:15,false,2026-04-01 06:30:00
HS-001707,courtney101707@example.com,Turner-Sharp,marketingqualifiedlead,57,IB,Mid-Market,United States,2025-11-06 03:57:50,false,2026-04-01 06:30:00
HS-001708,garciakenneth1708@example.com,Holmes-Mcintyre,lead,23,Channel,Mid Market,United States,2026-03-29 21:29:55,false,2026-04-01 06:30:00
HS-001709,othomas1709@example.com,Warner-Gibson,marketingqualifiedlead,42,Trade Show,Small Business,United Kingdom,2026-03-03 03:34:45,false,2026-04-01 06:30:00
HS-001710,perezpaul1710@example.com,Powell LLC,marketingqualifiedlead,52,outbound,SMB,United Kingdom,2026-03-16 00:43:46,false,2026-04-01 06:30:00
HS-001711,diana361711@example.com,"Branch, Torres and Oliver",lead,12,Content Download,Mid Market,Germany,2025-11-14 14:42:28,false,2026-04-01 06:30:00
HS-001712,vasquezvicki1712@example.com,"Andrews, Higgins and Carter",lead,18,inbound,Small Business,Germany,2025-11-27 20:17:56,false,2026-04-01 06:30:00
HS-001713,cristiansosa1713@example.com,Johnson LLC,marketingqualifiedlead,54,IB,smb,United States,2026-01-06 12:10:58,false,2026-04-01 06:30:00
HS-001714,charles511714@example.com,Hudson-Sanchez,marketingqualifiedlead,51,IB,smb,Germany,2026-01-14 06:04:57,false,2026-04-01 06:30:00
HS-001715,sandra101715@example.com,Erickson and Sons,marketingqualifiedlead,90,inbound,Small Business,Australia,2025-11-07 11:56:00,false,2026-04-01 06:30:00
HS-001716,gregorymoreno1716@example.com,Torres-Pope,lead,29,IB,MM,Germany,2025-10-26 06:10:37,false,2026-04-01 06:30:00
HS-001717,erinhernandez1717@example.com,"Flores, Mckenzie and Duncan",marketingqualifiedlead,87,Inbound,SmallBiz,Germany,2025-09-19 23:13:25,false,2026-04-01 06:30:00
HS-001718,colleen451718@example.com,Bishop-Goodwin,lead,10,Inbound,Mid Market,Australia,2026-03-29 09:12:17,false,2026-04-01 06:30:00
HS-001719,nelsonvictor1719@arcline.com,Kelly-Norman,lead,38,Word of Mouth,SmallBiz,Canada,2025-10-05 01:53:43,true,2026-04-01 06:30:00
HS-001720,sarah101720@example.com,Williams-Campbell,lead,37,Outbound,smb,Germany,2025-09-13 10:25:31,false,2026-04-01 06:30:00
HS-001721,kimberlythomas1721@example.com,Cline-Ayala,marketingqualifiedlead,40,PPC,Mid Market,Australia,2026-01-19 20:51:48,false,2026-04-01 06:30:00
HS-001722,petergriffith1722@example.com,Edwards-Williams,marketingqualifiedlead,89,inbound,ENT,United States,2025-09-06 18:36:31,false,2026-04-01 06:30:00
HS-001723,hbriggs1723@example.com,"Mccann, Taylor and Flores",marketingqualifiedlead,44,Outbound,SmallBiz,United Kingdom,2025-10-20 20:27:07,false,2026-04-01 06:30:00
HS-001724,rmoyer1724@example.com,Fields Inc,lead,37,Outbound,SmallBiz,United Kingdom,2025-11-11 01:07:59,false,2026-04-01 06:30:00
HS-001725,christophercooley1725@example.com,Carter LLC,lead,8,IB,Small Business,United States,2025-12-22 19:08:31,false,2026-04-01 06:30:00
HS-001726,katrinagomez1726@example.com,West-Wilson,marketingqualifiedlead,59,IB,SmallBiz,Canada,2025-12-23 15:01:24,false,2026-04-01 06:30:00
HS-001727,scoleman1727@example.com,"Ellison, Arias and Thompson",lead,37,Event,Small Business,Australia,2025-10-26 15:05:06,false,2026-04-01 06:30:00
HS-001728,oguzman1728@arcline.com,Duran LLC,marketingqualifiedlead,72,IB,smb,Germany,2025-12-16 23:01:25,true,2026-04-01 06:30:00
HS-001729,devon361729@example.com,"Morrison, Hebert and Rogers",marketingqualifiedlead,78,inbound,MidMarket,Australia,2026-02-07 07:48:44,false,2026-04-01 06:30:00
HS-001730,idunn1730@example.com,Hickman-Evans,lead,12,Event,Mid-Market,Australia,2026-02-26 07:04:03,false,2026-04-01 06:30:00
HS-001731,opatel1731@example.com,"Ramsey, Mason and Mccann",marketingqualifiedlead,72,inbound,Small Business,Australia,2025-09-22 12:04:46,false,2026-04-01 06:30:00
HS-001732,tmiller1732@example.com,"Martinez, Richardson and Curry",lead,39,Content,SMB,United States,2025-10-22 05:44:25,false,2026-04-01 06:30:00
HS-001733,xrose1733@example.com,"Harris, Anderson and Love",marketingqualifiedlead,73,inbound,Mid-Market,Germany,2025-09-25 13:59:53,false,2026-04-01 06:30:00
HS-001734,jacquelineyoung1734@example.com,Stein-Silva,marketingqualifiedlead,58,inbound,Small Business,Canada,2025-11-29 12:57:42,false,2026-04-01 06:30:00
HS-001735,harrismelissa1735@example.com,"Woods, Calhoun and Schmidt",marketingqualifiedlead,79,Event,MM,Australia,2026-02-15 16:50:53,false,2026-04-01 06:30:00
HS-001736,angela211736@example.com,"Davis, Rodriguez and Andrews",lead,30,inbound,SmallBiz,Canada,2025-12-27 10:07:02,false,2026-04-01 06:30:00
HS-001737,pruittmichael1737@example.com,"Mcmillan, Fischer and Gonzalez",lead,34,Content,smb,Canada,2026-02-20 00:02:17,false,2026-04-01 06:30:00
HS-001738,kenneththomas1738@example.com,Jones-Bradley,marketingqualifiedlead,70,Channel,SmallBiz,United States,2025-11-06 23:32:05,false,2026-04-01 06:30:00
HS-001739,osanchez1739@example.com,Mann Inc,marketingqualifiedlead,86,Trade Show,enterprise,United States,2025-11-08 18:26:53,false,2026-04-01 06:30:00
HS-001740,burgessdavid1740@example.com,Li Inc,lead,36,inbound,Enterprise,Germany,2025-11-02 07:38:45,false,2026-04-01 06:30:00
HS-001741,nicholasjohnson1741@example.com,Riggs PLC,marketingqualifiedlead,49,Outbound,smb,United Kingdom,2026-03-22 00:55:43,false,2026-04-01 06:30:00
HS-001742,swatson1742@example.com,Wilson-Jones,marketingqualifiedlead,52,Inbound,SmallBiz,Canada,2026-01-10 00:37:56,false,2026-04-01 06:30:00
HS-001743,batescharles1743@example.com,"Stuart, Brooks and Vance",lead,29,outbound,Mid Market,Australia,2026-01-20 04:21:56,false,2026-04-01 06:30:00
HS-001744,anthonydiaz1744@example.com,"Barnes, Jackson and Gutierrez",marketingqualifiedlead,55,Outbound,SmallBiz,Germany,2025-09-19 22:23:38,false,2026-04-01 06:30:00
HS-001745,sanchezalexander1745@example.com,"Evans, David and Hendrix",lead,26,inbound,Mid Market,Canada,2026-02-21 21:01:48,false,2026-04-01 06:30:00
HS-001746,lhernandez1746@example.com,Gregory-Watkins,marketingqualifiedlead,87,IB,Small Business,United Kingdom,2025-10-21 01:27:51,false,2026-04-01 06:30:00
HS-001747,vmanning1747@example.com,Miller Inc,lead,8,inbound,MM,United Kingdom,2026-03-27 00:52:54,false,2026-04-01 06:30:00
HS-001748,theodore571748@example.com,"Smith, Crawford and Reed",marketingqualifiedlead,64,Cold Outreach,SMB,United Kingdom,2026-01-06 15:58:40,false,2026-04-01 06:30:00
HS-001749,mitchelleric1749@example.com,Hines-Berry,marketingqualifiedlead,56,IB,SmallBiz,Canada,2025-12-30 19:11:06,false,2026-04-01 06:30:00
HS-001750,munozglenn1750@example.com,"Anderson, Roberts and Gilmore",lead,38,Cold Outreach,Enterprise,Australia,2026-01-16 04:51:15,false,2026-04-01 06:30:00
HS-001751,alexwall1751@example.com,Vargas PLC,marketingqualifiedlead,53,Inbound,MidMarket,United States,2025-10-16 16:24:51,false,2026-04-01 06:30:00
HS-001752,qspencer1752@example.com,"Reyes, Chase and Jenkins",lead,37,Paid Ads,MidMarket,United Kingdom,2026-03-07 11:40:29,false,2026-04-01 06:30:00
HS-001753,jenna621753@example.com,Williams Ltd,marketingqualifiedlead,89,IB,enterprise,Germany,2026-03-19 17:11:47,false,2026-04-01 06:30:00
HS-001754,teresa861754@example.com,"Wilson, Sweeney and Wong",lead,37,Content Download,Small Business,Germany,2025-09-23 18:14:23,false,2026-04-01 06:30:00
HS-001755,juliamorales1755@example.com,"Burns, Nolan and Griffin",marketingqualifiedlead,87,outbound,Small Business,Canada,2025-12-12 16:11:50,false,2026-04-01 06:30:00
HS-001756,robinsonisaiah1756@example.com,Williams LLC,lead,36,PPC,Small Business,Germany,2025-10-02 19:54:25,false,2026-04-01 06:30:00
HS-001757,velasqueztaylor1757@example.com,Boone-Davis,marketingqualifiedlead,55,Partner,Small Business,United Kingdom,2025-10-22 15:20:34,false,2026-04-01 06:30:00
HS-001758,denise661758@example.com,Johnston and Sons,marketingqualifiedlead,56,Channel,SmallBiz,United Kingdom,2026-02-13 17:09:42,false,2026-04-01 06:30:00
HS-001759,brianwatson1759@example.com,Blevins-Ballard,lead,19,Paid,Mid-Market,Canada,2025-10-28 06:45:13,false,2026-04-01 06:30:00
HS-001760,glee1760@example.com,"Fitzpatrick, Rivera and Smith",lead,11,Inbound,MM,Germany,2026-02-11 17:29:25,false,2026-04-01 06:30:00
HS-001761,millercarrie1761@example.com,"Williams, Mccoy and Cook",marketingqualifiedlead,47,outbound,smb,Canada,2025-11-04 01:47:57,false,2026-04-01 06:30:00
HS-001762,anthony421762@example.com,Reed Inc,lead,28,Trade Show,ENT,Germany,2025-10-12 12:59:14,false,2026-04-01 06:30:00
HS-001763,jonescarla1763@example.com,Brooks Ltd,marketingqualifiedlead,74,Inbound,Small Business,Canada,2025-10-11 14:05:26,false,2026-04-01 06:30:00
HS-001764,jacob301764@example.com,Hayes Ltd,lead,21,outbound,SmallBiz,United States,2026-01-17 06:14:32,false,2026-04-01 06:30:00
HS-001765,josephdavila1765@example.com,Garcia LLC,marketingqualifiedlead,41,Outbound,SmallBiz,United States,2026-01-14 08:52:22,false,2026-04-01 06:30:00
HS-001766,elliottkristy1766@example.com,Peck-Anderson,lead,29,inbound,Mid Market,Canada,2025-09-22 04:31:32,false,2026-04-01 06:30:00
HS-001767,williamschristopher1767@example.com,"Powell, Deleon and Warren",marketingqualifiedlead,63,outbound,smb,United Kingdom,2025-12-27 21:59:38,false,2026-04-01 06:30:00
HS-001768,alan541768@example.com,Williams-Hughes,lead,39,Content Download,SmallBiz,United Kingdom,2025-10-11 13:17:12,false,2026-04-01 06:30:00
HS-001769,uporter1769@example.com,"White, Davis and Anderson",lead,5,IB,MM,United States,2025-10-09 17:52:41,false,2026-04-01 06:30:00
HS-001770,iswanson1770@example.com,"Sanchez, Wheeler and Harvey",lead,9,IB,Enterprise,Australia,2025-09-28 16:37:53,false,2026-04-01 06:30:00
HS-001771,riverapeggy1771@example.com,Arroyo LLC,lead,34,Outbound,SMB,United States,2026-01-16 12:03:20,false,2026-04-01 06:30:00
HS-001772,shawkimberly1772@example.com,"Richardson, Edwards and Ramirez",lead,33,Outbound,SMB,Canada,2025-10-31 15:18:56,false,2026-04-01 06:30:00
HS-001773,matthewspatrick1773@example.com,Dawson Inc,marketingqualifiedlead,81,inbound,SmallBiz,Canada,2025-09-21 20:16:19,false,2026-04-01 06:30:00
HS-001774,robertsedward1774@example.com,Nelson-Johnson,marketingqualifiedlead,66,Cold Outreach,Small Business,United States,2025-09-24 20:26:12,false,2026-04-01 06:30:00
HS-001775,omiller1775@example.com,"Fisher, Wilson and Brown",marketingqualifiedlead,67,Word of Mouth,Mid Market,Australia,2025-10-19 15:19:48,false,2026-04-01 06:30:00
HS-001776,cisnerosjesse1776@example.com,"Matthews, Smith and Hubbard",lead,5,Channel,Small Business,United States,2025-09-29 00:24:59,false,2026-04-01 06:30:00
HS-001777,lindseypena1777@example.com,"Lewis, Kennedy and Santana",lead,23,Trade Show,ENT,Germany,2025-12-24 08:01:16,false,2026-04-01 06:30:00
HS-001778,victoriamason1778@example.com,"Daniels, Vance and York",lead,21,Paid Ads,Small Business,Australia,2025-09-24 11:04:44,false,2026-04-01 06:30:00
HS-001779,seth251779@example.com,Diaz Inc,lead,15,Inbound,MM,Australia,2026-03-30 20:25:06,false,2026-04-01 06:30:00
HS-001780,michael601780@example.com,Jones-Soto,marketingqualifiedlead,53,Inbound,Small Business,United Kingdom,2026-01-02 11:27:18,false,2026-04-01 06:30:00
HS-001781,nallen1781@example.com,Russell Group,lead,9,Cold Outreach,MM,United States,2026-02-25 19:36:27,false,2026-04-01 06:30:00
HS-001782,rubioashley1782@example.com,Price LLC,marketingqualifiedlead,81,Inbound,Mid-Market,Canada,2025-09-27 15:40:11,false,2026-04-01 06:30:00
HS-001783,adavis1783@example.com,"Robinson, Shields and Brown",marketingqualifiedlead,63,IB,Small Business,Canada,2026-02-24 10:39:07,false,2026-04-01 06:30:00
HS-001784,katiecollins1784@example.com,Decker-Dudley,lead,20,IB,Small Business,United Kingdom,2025-09-16 07:35:02,false,2026-04-01 06:30:00
HS-001785,portershawn1785@example.com,"Steele, Williams and Preston",marketingqualifiedlead,74,Cold Outreach,smb,United States,2025-12-29 03:11:30,false,2026-04-01 06:30:00
HS-001786,sarahmartin1786@example.com,Stanley PLC,marketingqualifiedlead,41,PPC,SMB,Canada,2026-01-18 04:19:01,false,2026-04-01 06:30:00
HS-001787,barbara511787@example.com,Taylor Inc,lead,8,inbound,ENT,Canada,2026-02-04 17:15:39,false,2026-04-01 06:30:00
HS-001788,whitekelsey1788@example.com,Pena LLC,marketingqualifiedlead,88,Inbound,smb,United States,2025-11-27 22:42:14,false,2026-04-01 06:30:00
HS-001789,valerie471789@example.com,Levy-Lewis,lead,21,Inbound,MidMarket,United States,2025-09-28 08:15:20,false,2026-04-01 06:30:00
HS-001790,shelbybonilla1790@example.com,Taylor and Sons,lead,36,Content Download,MidMarket,Australia,2025-10-12 14:00:18,false,2026-04-01 06:30:00
HS-001791,swilliams1791@example.com,Love-Garcia,lead,17,IB,SmallBiz,United States,2025-12-08 10:23:13,false,2026-04-01 06:30:00
HS-001792,nortiz1792@example.com,Moran-Cox,lead,20,outbound,enterprise,Germany,2026-02-21 03:37:19,false,2026-04-01 06:30:00
HS-001793,scotthunt1793@example.com,Hull Ltd,lead,18,IB,Small Business,United Kingdom,2025-12-02 22:15:19,false,2026-04-01 06:30:00
HS-001794,nathaniel681794@example.com,Reid Group,lead,6,Partner,Enterprise,Australia,2025-11-28 11:17:28,false,2026-04-01 06:30:00
HS-001795,rbaker1795@example.com,Rowe Group,marketingqualifiedlead,52,outbound,smb,Canada,2026-02-04 04:26:41,false,2026-04-01 06:30:00
HS-001796,oliverdawn1796@example.com,"Rivera, Martinez and Richardson",marketingqualifiedlead,59,Outbound,SMB,United Kingdom,2025-09-26 16:55:13,false,2026-04-01 06:30:00
HS-001797,hollycastro1797@example.com,Harris-Walters,lead,39,Inbound,SmallBiz,Australia,2025-09-22 12:45:35,false,2026-04-01 06:30:00
HS-001798,melissaroberts1798@example.com,Miller Inc,marketingqualifiedlead,73,Cold Outreach,Mid-Market,United Kingdom,2026-03-18 04:02:36,false,2026-04-01 06:30:00
HS-001799,ashleynash1799@example.com,Moore and Sons,marketingqualifiedlead,76,Inbound,Mid Market,United States,2025-08-28 08:31:25,false,2026-04-01 06:30:00
HS-001800,paulford1800@example.com,Brock-Mcdonald,marketingqualifiedlead,66,Event,SmallBiz,Australia,2025-11-06 09:20:24,false,2026-04-01 06:30:00
HS-001801,baileytaylor1801@example.com,Herman-Walker,lead,26,Paid Ads,smb,Canada,2026-02-12 18:23:20,false,2026-04-01 06:30:00
HS-001802,lrodriguez1802@example.com,Donovan-Perez,marketingqualifiedlead,76,Cold Outreach,MidMarket,Germany,2026-03-13 16:28:52,false,2026-04-01 06:30:00
HS-001803,lowerysandra1803@example.com,Schultz Inc,marketingqualifiedlead,64,Cold Outreach,Mid Market,United Kingdom,2025-12-01 14:06:17,false,2026-04-01 06:30:00
HS-001804,vgonzalez1804@example.com,Vargas PLC,marketingqualifiedlead,74,Outbound,Mid-Market,United States,2026-03-18 22:52:59,false,2026-04-01 06:30:00
HS-001805,stewartwendy1805@example.com,"Higgins, Strickland and Martin",lead,23,Event,smb,Australia,2025-11-15 10:48:58,false,2026-04-01 06:30:00
HS-001806,vlewis1806@example.com,"Burke, Martinez and Riggs",lead,39,Cold Outreach,Mid Market,United Kingdom,2026-02-17 06:24:24,false,2026-04-01 06:30:00
HS-001807,dwilson1807@example.com,Suarez LLC,lead,25,PPC,smb,Australia,2026-03-01 16:48:09,false,2026-04-01 06:30:00
HS-001808,gardnerstacy1808@example.com,Davis Inc,lead,35,Content Download,smb,Canada,2025-10-26 13:05:59,false,2026-04-01 06:30:00
HS-001809,danielleflores1809@example.com,Robertson-Hays,marketingqualifiedlead,66,Event,SmallBiz,United States,2025-11-16 18:40:09,false,2026-04-01 06:30:00
HS-001810,huertakim1810@example.com,Goodwin Ltd,marketingqualifiedlead,47,Content Download,smb,Canada,2026-02-09 00:54:45,false,2026-04-01 06:30:00
HS-001811,mayermichael1811@example.com,Cruz-Allen,marketingqualifiedlead,69,IB,MidMarket,Germany,2025-09-02 14:03:12,false,2026-04-01 06:30:00
HS-001812,nirwin1812@example.com,"Sullivan, Palmer and Brady",lead,33,outbound,SmallBiz,Canada,2026-02-12 06:51:38,false,2026-04-01 06:30:00
HS-001813,lewisandrew1813@example.com,Walker Ltd,marketingqualifiedlead,84,Event,smb,Australia,2025-10-04 04:56:47,false,2026-04-01 06:30:00
HS-001814,onelson1814@example.com,"Frey, Santos and Johnson",marketingqualifiedlead,44,IB,Small Business,United States,2025-10-07 19:23:47,false,2026-04-01 06:30:00
HS-001815,christopherjones1815@example.com,Russell Group,lead,17,Event,MidMarket,United States,2026-02-03 08:36:13,false,2026-04-01 06:30:00
HS-001816,tmiller1816@example.com,"Smith, Rodriguez and Anderson",lead,20,Content,MidMarket,United States,2025-10-10 13:17:49,false,2026-04-01 06:30:00
HS-001817,hsavage1817@example.com,"Rivera, Martinez and Richardson",marketingqualifiedlead,71,Inbound,SMB,United Kingdom,2025-11-27 09:21:56,false,2026-04-01 06:30:00
HS-001818,elizabethgreen1818@example.com,"Osborn, Gaines and Davis",lead,18,Outbound,SmallBiz,United States,2025-10-23 02:19:51,false,2026-04-01 06:30:00
HS-001819,davisrachel1819@example.com,Davis-Lewis,marketingqualifiedlead,61,inbound,MM,Australia,2026-03-06 00:30:36,false,2026-04-01 06:30:00
HS-001820,tabitha421820@example.com,Huang-Foster,lead,28,IB,Small Business,United Kingdom,2025-09-24 09:34:28,false,2026-04-01 06:30:00
HS-001821,michaelbarnes1821@example.com,"Howard, Townsend and Hayes",lead,10,Inbound,SMB,United States,2026-01-28 01:49:59,false,2026-04-01 06:30:00
HS-001822,ynichols1822@example.com,Kane PLC,marketingqualifiedlead,73,Event,Small Business,United States,2025-09-06 12:27:26,false,2026-04-01 06:30:00
HS-001822D,ynichols1822@example.com,Kane PLC,marketingqualifiedlead,73,Event,Small Business,United States,2025-09-06 12:27:26,false,2026-04-01 06:30:00
HS-001823,tammykim1823@example.com,Gilbert PLC,lead,19,Trade Show,Small Business,Australia,2025-12-26 06:49:31,false,2026-04-01 06:30:00
HS-001824,jmorrow1824@example.com,"Howard, Townsend and Hayes",marketingqualifiedlead,41,Inbound,SmallBiz,United States,2025-11-12 02:37:08,false,2026-04-01 06:30:00
HS-001825,christiancontreras1825@example.com,Moody-Taylor,lead,28,inbound,Mid-Market,Canada,2025-10-17 07:52:00,false,2026-04-01 06:30:00
HS-001826,mariodowns1826@example.com,Salas-Fitzgerald,marketingqualifiedlead,68,Outbound,Small Business,Germany,2025-09-25 23:00:23,false,2026-04-01 06:30:00
HS-001827,alexis721827@example.com,Harper and Sons,marketingqualifiedlead,54,Word of Mouth,SMB,United States,2026-02-21 09:37:03,false,2026-04-01 06:30:00
HS-001828,hlin1828@example.com,"Daniels, Adkins and Brown",marketingqualifiedlead,74,Partner,SMB,United States,2025-09-17 07:10:05,false,2026-04-01 06:30:00
HS-001829,ubaker1829@example.com,Kerr-Evans,lead,24,Trade Show,Small Business,United States,2025-12-15 20:30:40,false,2026-04-01 06:30:00
HS-001830,mcneilsherry1830@example.com,Mayo Ltd,lead,10,Outbound,Small Business,Australia,2025-11-03 23:51:52,false,2026-04-01 06:30:00
HS-001831,cynthiafowler1831@example.com,Campbell-Clark,lead,14,IB,SmallBiz,Germany,2026-02-02 18:38:15,false,2026-04-01 06:30:00
HS-001832,johnsonjulie1832@example.com,"Miller, Lucas and Williams",marketingqualifiedlead,85,IB,Enterprise,United Kingdom,2026-02-03 11:08:31,false,2026-04-01 06:30:00
HS-001833,robertpayne1833@example.com,Reed Group,lead,22,Outbound,MidMarket,United States,2025-10-22 13:30:56,false,2026-04-01 06:30:00
HS-001834,carolynrobinson1834@example.com,"Fry, Myers and Gamble",marketingqualifiedlead,45,Content,Mid Market,Germany,2026-01-24 08:09:54,false,2026-04-01 06:30:00
